[May 22, 2025 04:07 PM] | IP: ::ffff:127.0.0.1 | GET | /health | Status Code: 200 | User-Agent: curl/7.88.1
[May 22, 2025 04:07 PM] | IP: ::ffff:127.0.0.1 | GET | /health | Status Code: 200 | User-Agent: curl/7.88.1
[May 22, 2025 04:08 PM] | IP: ::ffff:127.0.0.1 | GET | /health | Status Code: 200 | User-Agent: curl/7.88.1
[May 22, 2025 04:08 PM] | IP: ::ffff:172.18.0.12 | GET | /socket.io/?EIO=4&transport=polling&t=kg5ols1a | Status Code: 404 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 22, 2025 04:08 PM] | IP: ::ffff:172.18.0.12 | GET | /socket.io/?EIO=4&transport=polling&t=kg69das0 | Status Code: 404 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 22, 2025 04:08 PM] | IP: ::ffff:172.18.0.12 | GET | / | Status Code: 200 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 22, 2025 04:08 PM] | IP: ::ffff:172.18.0.12 | GET | /socket.io/?EIO=4&transport=polling&t=kg7xhgbv | Status Code: 404 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 22, 2025 04:08 PM] | IP: ::ffff:127.0.0.1 | GET | /health | Status Code: 200 | User-Agent: curl/7.88.1
[May 22, 2025 04:08 PM] | IP: ::ffff:172.18.0.12 | GET | /message/682afba205088069e9f63c95 | Status Code: 200 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 22, 2025 04:08 PM] | IP: ::ffff:172.18.0.12 | GET | /socket.io/?EIO=4&transport=polling&t=kgbswait | Status Code: 404 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 22, 2025 04:08 PM] | IP: ::ffff:172.18.0.12 | GET | /socket.io/?EIO=4&transport=polling&t=kgfo5wx6 | Status Code: 404 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 22, 2025 04:08 PM] | IP: ::ffff:127.0.0.1 | GET | /health | Status Code: 200 | User-Agent: curl/7.88.1
[May 22, 2025 04:08 PM] | IP: ::ffff:172.18.0.12 | GET | /socket.io/?EIO=4&transport=polling&t=kgjje8hu | Status Code: 404 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 22, 2025 04:08 PM] | IP: ::ffff:127.0.0.1 | GET | /health | Status Code: 200 | User-Agent: curl/7.88.1
[May 23, 2025 07:21 PM] | IP: ::ffff:127.0.0.1 | GET | /health | Status Code: 200 | User-Agent: curl/7.88.1
[May 23, 2025 07:22 PM] | IP: ::ffff:172.18.0.12 | GET | /socket.io/?EIO=4&transport=polling&t=6t93fxge | Status Code: 404 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 23, 2025 07:22 PM] | IP: ::ffff:172.18.0.12 | GET | / | Status Code: 200 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 23, 2025 07:22 PM] | IP: ::ffff:172.18.0.12 | GET | / | Status Code: 304 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[May 23, 2025 07:22 PM] | IP: ::ffff:127.0.0.1 | GET | /health | Status Code: 200 | User-Agent: curl/7.88.1
[May 23, 2025 07:22 PM] | IP: ::ffff:172.18.0.12 | GET | /socket.io/?EIO=4&transport=polling&t=6tah4o4p | Status Code: 404 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
